income_group,n_countries,le_1960s,le_recent,le_improvement,sigma_trend_r,sigma_trend_p,sigma_converging,sigma_start,sigma_end
Low income,7,44.49614285714286,64.55881428571428,20.06267142857142,-0.5828390241770491,4.3456921463704513e-07,True,6.0437518818631055,2.9293517404107754
Lower-middle income,21,49.4628380952381,68.61240000000001,19.14956190476191,0.35532939105055983,0.00396065582432173,False,6.004911799042988,5.857611344388149
Upper-middle income,27,59.37514941282747,73.89257687443542,14.517427461607951,-0.20059283589793017,0.11198929106668942,False,8.277951472990836,3.92553287864493
High income,38,69.13380897200155,80.65795712451862,11.524148152517071,-0.7842680159737729,1.7864513021661812e-14,True,5.501533269863437,2.319159926717678
