predictor,coefficient,std_error,p_value,t_statistic,significant_at_05
(intercept),63.47915962580647,1.4246165022391855,1.1009105388028351e-61,44.558770396124935,True
gdp_per_capita,7.640986760856403e-05,3.6808355882541356e-05,0.04085636767781641,2.0758837436910933,True
physicians_per_1000,1.7866118862511402,0.3369325211825892,8.560223548349679e-07,5.302580706606668,True
urban_population_pct,0.0820535925888975,0.026169235298958326,0.002340143480613074,3.1354982922318584,True
health_expenditure_pc,-7.981597099994322e-05,0.0003644519740829561,0.8271608973128467,-0.2190027127738252,False
