year,bz_mean_unweighted,bz_mean_weighted,global_mean_unweighted,global_mean_weighted,gap_unweighted,gap_weighted,gap_difference
1960,68.09751219512196,69.08533042910159,57.471022427810496,48.330099223721966,10.626489767311469,20.755231205379623,-10.128741438068154
1961,68.50519024390245,69.6347487502142,58.15683508869181,50.54074489300192,10.34835515521064,19.09400385721228,-8.745648702001638
1962,68.47215121951221,69.54150764115502,58.511792128603105,53.63369145535483,9.960359090909108,15.907816185800193,-5.947457094891085
1963,68.75350731707317,69.7533351520328,58.84057246986264,54.054930690392005,9.91293484721053,15.698404461640799,-5.785469614430269
1964,69.12706341463416,70.1808884662195,59.33514213624894,54.518796240022354,9.791921278385225,15.662092226197146,-5.870170947811921
1965,69.36097073170734,70.22672871978176,59.57286851696101,54.28889616980743,9.788102214746331,15.937832549974331,-6.149730335228
1966,69.79013170731709,70.52586569483765,60.12043375831486,54.88636395883381,9.669697949002227,15.639501736003837,-5.969803787001609
1967,69.96853170731708,70.86315006067794,60.554245288248346,55.399749096023434,9.414286419068738,15.463400964654504,-6.049114545585766
1968,69.90518536585367,70.5456198418477,60.78892738359202,55.97299996435535,9.11625798226165,14.572619877492343,-5.4563618952306925
1969,70.30383902439026,70.94058536467871,60.995416019955655,56.341540604225806,9.308423004434601,14.599044760452905,-5.290621756018304
1970,70.7507268292683,71.24859014573374,61.202623614190685,56.6235427756464,9.548103215077617,14.625047370087344,-5.076944155009727
1971,71.20066829268292,71.70563587764825,61.39414024390244,56.64755842695474,9.806528048780478,15.05807745069351,-5.2515494019130315
1972,71.41107317073171,71.86589408724883,62.02257150776054,57.65073941520413,9.388501662971173,14.215154672044704,-4.826653009073532
1973,71.66289756097561,72.01908316555914,62.3834977827051,58.15618959936057,9.279399778270509,13.862893566198565,-4.583493787928056
1974,72.24060975609756,72.57053919677288,62.715086751662966,58.58157134314369,9.52552300443459,13.988967853629191,-4.463444849194602
1975,72.63068780487806,73.08152574128444,63.04369733924613,59.089770173454426,9.586990465631935,13.991755567830012,-4.404765102198077
1976,73.03195121951221,73.40267203055821,63.22505266075388,59.44389924704494,9.806898558758327,13.958772783513268,-4.151874224754941
1977,73.41518536585366,73.83856732291947,63.87488858093126,60.078200775009364,9.540296784922397,13.76036654791011,-4.220069762987713
1978,73.80521463414634,74.05058210070504,64.10363331485588,60.471779471874484,9.701581319290455,13.578802628830559,-3.8772213095401042
