indicator,n_countries,raw_correlation,raw_p_value,partial_correlation_gdp_controlled,partial_p_value,correlation_change,gdp_explains_relationship
fertility_rate,93,-0.820296331595853,8.39111600606694e-24,-0.7620621795983786,1.122247890992638e-18,0.05823415199747439,False
clean_water_access_pct,78,0.8544286649463815,2.60172319278478e-23,0.7517543966870036,3.3185672694315724e-15,-0.10267426825937787,False
physicians_per_1000,27,0.8370097044719192,5.2804698131283144e-08,0.6817237028964092,0.00012555350295113883,-0.1552860015755101,False
population_65plus_pct,93,0.7741584126200136,9.048144861891048e-20,0.6472496783361643,3.13636243969335e-12,-0.1269087342838493,False
urban_population_pct,93,0.6810124555159087,5.861496958610459e-14,0.5141401574049203,1.587504354427586e-07,-0.16687229811098847,False
gini_index,40,-0.34056171406037816,0.03152809259743025,-0.1466625817148076,0.37296172641153036,0.19389913234557057,True
forest_area_pct,93,0.08650364459933552,0.4096694384355169,0.12483093010150498,0.2357765541362402,0.03832728550216946,False
death_rate,93,0.18756898839176117,0.07179732143393502,0.11604986651801066,0.2706273453924962,-0.07151912187375051,False
health_expenditure_pc,93,0.6402621030817951,4.834015627523961e-12,0.05793569162066797,0.5833054935832671,-0.5823264114611271,True
