decade,start_year,end_year,n_countries,avg_gain_years,bz_avg_gain,non_bz_avg_gain,beta_correlation,convergence
1960s,1960,1970,93,3.5173270390768394,2.6532146341463387,3.5664243348115265,-0.581414807649458,Yes
1970s,1970,1980,93,3.4144993443482847,3.465775609756102,3.4115859201773846,-0.44996479304037257,Yes
1980s,1980,1990,93,2.65217676370312,2.5945902439024366,2.655448725055432,-0.21302351530696037,Yes
1990s,1990,2000,93,2.1501473905061634,1.7280146341463394,2.1741322062084265,-0.08770460460009638,Weak
2000s,2000,2010,93,3.147252032520325,2.0934000000000195,3.2071299889135245,-0.651764180919292,Yes
2010s,2010,2020,93,1.4614799370574358,0.31717560975608305,1.5264972283813767,-0.5688448037279443,Yes
