decade,group,avg_le_start,avg_le_end,avg_gain,median_gain,max_gain,min_gain,n_countries
1960-1970,blue_zone,68.09751219512196,70.7507268292683,2.6532146341463387,2.43487804878049,4.22414634146341,1.0365853658535968,5
1960-1970,non_blue_zone,57.63619927937916,61.202623614190685,3.5664243348115265,2.946524390243905,23.405,-3.1159999999999997,88
1960-1970,global,58.198635457644905,61.715962496721744,3.5173270390768394,2.9180487804878084,23.405,-3.1159999999999997,93
1970-1980,blue_zone,70.7507268292683,74.21650243902441,3.465775609756102,2.80243902439031,6.247,1.8257804878049058,5
1970-1980,non_blue_zone,61.202623614190685,64.61420953436807,3.4115859201773846,2.9895365853658404,12.253999999999998,-6.167999999999999,88
1970-1980,global,61.715962496721744,65.13046184107003,3.4144993443482847,2.928999999999988,12.253999999999998,-6.167999999999999,93
1980-1990,blue_zone,74.21650243902441,76.81109268292684,2.5945902439024366,2.848048780487801,3.059999999999988,1.604878048780492,5
1980-1990,non_blue_zone,64.61420953436807,67.26965825942351,2.655448725055432,2.538890243902447,13.146,-7.292000000000002,88
1980-1990,global,65.13046184107003,67.78263860477315,2.65217676370312,2.5487804878048905,13.146,-7.292000000000002,93
1990-2000,blue_zone,76.81109268292684,78.53910731707317,1.7280146341463394,1.4219512195122093,2.807317073170694,0.9487804878048962,5
1990-2000,non_blue_zone,67.26965825942351,69.44379046563193,2.1741322062084265,2.260256097560948,9.887,-12.285000000000004,88
1990-2000,global,67.78263860477315,69.93278599527932,2.1501473905061634,2.239024390243898,9.887,-12.285000000000004,93
2000-2010,blue_zone,78.53910731707317,80.63250731707319,2.0934000000000195,2.037000000000006,2.5,1.7665853658537003,5
2000-2010,non_blue_zone,69.44379046563193,72.65092045454546,3.2071299889135245,2.699097560975602,10.319000000000003,0.5180000000000007,88
2000-2010,global,69.93278599527932,73.08003802779963,3.147252032520325,2.660975609756008,10.319000000000003,0.5180000000000007,93
2010-2020,blue_zone,80.63250731707319,80.94968292682927,0.31717560975608305,0.3709999999999951,1.7173170731707046,-1.560975609756099,5
2010-2020,non_blue_zone,72.65092045454546,74.17741768292684,1.5264972283813767,1.081707317073196,9.605000000000004,-3.2690000000000055,88
2010-2020,global,73.08003802779963,74.54151796485705,1.4614799370574358,1.0487804878048053,9.605000000000004,-3.2690000000000055,93
