year,global_mean,global_median,global_std,n_countries,blue_zone_mean,bz_n_countries,non_bz_mean,global_q25,global_q75,bz_gap_over_global
1960,58.04854904559915,58.566,11.414546581308285,92,68.09751219512195,5,57.471022427810496,48.09325,68.99955487804877,10.048963149522798
1961,58.71319826907947,59.285,11.163429561055082,93,68.50519024390243,5,58.15683508869179,49.242,69.5773170731707,9.791991974822963
1962,59.0472953055337,59.667,10.762534660088416,93,68.47215121951221,5,58.51179212860311,50.104,69.2920243902439,9.424855913978512
1963,59.37931892895016,60.328500000000005,10.536326081085045,92,68.75350731707316,5,58.840572469862636,50.728750000000005,69.50304878048783,9.374188388122995
1964,59.86731177094379,60.941,10.506362532133199,92,69.12706341463415,5,59.33514213624894,51.28475,70.17603658536588,9.259751643690358
1965,60.10483059384942,61.5095,10.472561922268664,92,69.36097073170734,5,59.57286851696103,51.96925,70.17292682926832,9.25614013785792
1966,60.64030999213218,62.149,10.328246419141228,93,69.79013170731709,5,60.12043375831486,52.301,70.2169512195122,9.149821715184906
1967,61.060389719381064,62.976,10.125091753520046,93,69.96853170731708,5,60.554245288248346,52.796,70.4139024390244,8.90814198793602
1968,61.279048780487805,63.788,9.908131903828075,93,69.90518536585367,5,60.78892738359202,53.302,70.0807804878049,8.626136585365863
1969,61.49586886965645,63.84,9.664740231978405,93,70.30383902439026,5,60.995416019955655,54.126,69.9095609756098,8.807970154733809
1970,61.715962496721744,64.816,9.776264860746542,93,70.7507268292683,5,61.202623614190685,54.143,70.179512195122,9.034764332546558
1971,61.92137293469709,65.1379268292683,10.161295171490053,93,71.20066829268292,5,61.39414024390244,55.289,70.1646341463415,9.27929535798583
1972,62.527329661683716,65.555,9.483590691661062,93,71.41107317073173,5,62.02257150776054,55.845,70.7073170731707,8.88374350904801
1973,62.88239024390244,65.74,9.357121743784992,93,71.66289756097561,5,62.3834977827051,56.422,71.1128048780488,8.780507317073166
1974,63.22721164437451,66.223,9.333501024661938,93,72.24060975609756,5,62.71508675166297,56.943,71.1348780487805,9.013398111723042
1975,63.559126934172575,66.037,9.183337256819973,93,72.63068780487806,5,63.04369733924613,57.744,71.1146341463415,9.07156087070549
1976,63.752305271439816,66.819,9.45707043701489,93,73.0319512195122,5,63.22505266075388,58.0,71.5658536585366,9.279645948072378
1977,64.38780776291634,67.3763414634146,8.95964612178842,93,73.41518536585366,5,63.87488858093126,58.586,71.6151219512195,9.027377602937321
1978,64.62522370836612,67.3909756097561,8.936249652452856,93,73.80521463414634,5,64.10363331485588,59.111,71.7102195121951,9.179990925780217
1979,64.92690296354577,67.607,8.884418659859552,93,74.20923414634149,5,64.3994977827051,59.519,72.1766585365854,9.282331182795716
1980,65.13046184107003,68.061,8.82389416262415,93,74.21650243902441,5,64.61420953436807,59.909,72.2581707317073,9.08604059795438
1981,65.37902543928665,68.461,8.894485382226204,93,74.62304390243904,5,64.85379711751663,59.562,72.5878048780488,9.244018463152386
1982,65.48819931812221,68.876,9.193893017147712,93,75.02339024390247,5,64.94642710643016,59.859,72.6878048780488,9.535190925780256
1983,65.85449855756622,68.9736585365854,9.141221356942712,93,75.15020487804875,5,65.32633342572062,60.752,73.0121951219512,9.295706320482537
1984,66.09047102019409,69.0258536585366,9.41000026670141,93,75.51655121951221,5,65.55489828159646,61.066,73.290243902439,9.426080199318122
1985,66.34154681353266,68.9721951219512,9.285329193036016,93,75.69093658536588,5,65.8103314855876,61.574,73.6219024390244,9.349389771833216
