decade,start_year,end_year,n_countries,avg_gain_years,bz_avg_gain,non_bz_avg_gain,beta_correlation,convergence,p_value,p_value_bonferroni,significant_at_05
1960s,1960,1970,93,3.5173270390768394,2.6532146341463387,3.5664243348115265,-0.581414807649458,Yes,,,
1970s,1970,1980,93,3.4144993443482847,3.465775609756102,3.4115859201773846,-0.4499647930403725,Yes,,,
1980s,1980,1990,93,2.65217676370312,2.5945902439024366,2.655448725055432,-0.2130235153069603,Yes,,,
1990s,1990,2000,93,2.1501473905061634,1.7280146341463394,2.1741322062084265,-0.0877046046000963,Weak,,,
2000s,2000,2010,93,3.147252032520325,2.0934000000000195,3.2071299889135245,-0.651764180919292,Yes,,,
