year,global_mean,global_median,global_std,n_countries,blue_zone_mean,bz_n_countries,non_bz_mean,global_q25,global_q75,bz_gap_over_global,weighted_global_mean,weighted_bz_mean,weighted_gap
1960,58.04854904559915,58.566,11.414546581308285,92,68.09751219512195,5,57.471022427810496,48.09325,68.99955487804877,10.048963149522798,48.330099223721966,69.08533042910159,20.755231205379623
1961,58.71319826907947,59.285,11.163429561055082,93,68.50519024390243,5,58.15683508869179,49.242,69.5773170731707,9.791991974822963,50.54074489300192,69.6347487502142,19.09400385721228
1962,59.0472953055337,59.667,10.762534660088416,93,68.47215121951221,5,58.51179212860311,50.104,69.2920243902439,9.424855913978512,53.63369145535483,69.54150764115502,15.907816185800193
1963,59.37931892895016,60.328500000000005,10.536326081085043,92,68.75350731707316,5,58.84057246986264,50.728750000000005,69.50304878048783,9.374188388122995,54.054930690392005,69.7533351520328,15.698404461640799
1964,59.86731177094379,60.941,10.5063625321332,92,69.12706341463415,5,59.33514213624894,51.28475,70.17603658536588,9.259751643690358,54.518796240022354,70.1808884662195,15.662092226197146
1965,60.10483059384942,61.5095,10.472561922268664,92,69.36097073170734,5,59.57286851696103,51.96925,70.17292682926832,9.25614013785792,54.28889616980743,70.22672871978176,15.937832549974331
1966,60.64030999213218,62.149,10.328246419141228,93,69.79013170731709,5,60.12043375831486,52.301,70.2169512195122,9.149821715184906,54.88636395883381,70.52586569483765,15.639501736003837
1967,61.06038971938106,62.976,10.125091753520046,93,69.96853170731708,5,60.554245288248346,52.796,70.4139024390244,8.90814198793602,55.399749096023434,70.86315006067794,15.463400964654504
1968,61.279048780487805,63.788,9.908131903828076,93,69.90518536585367,5,60.78892738359202,53.302,70.0807804878049,8.626136585365863,55.97299996435535,70.5456198418477,14.572619877492343
1969,61.49586886965645,63.84,9.664740231978405,93,70.30383902439026,5,60.995416019955655,54.126,69.9095609756098,8.807970154733809,56.341540604225806,70.94058536467871,14.599044760452905
1970,61.715962496721744,64.816,9.776264860746542,93,70.7507268292683,5,61.202623614190685,54.143,70.179512195122,9.034764332546558,56.6235427756464,71.24859014573374,14.625047370087344
